Episode: 0, Reward: 5, Epsilon: 1.00
Episode: 1, Reward: -1, Epsilon: 1.00
Episode: 2, Reward: -1, Epsilon: 1.00
Episode: 3, Reward: -1, Epsilon: 1.00
Episode: 4, Reward: -1, Epsilon: 1.00
Episode: 5, Reward: -1, Epsilon: 1.00
Episode: 6, Reward: -1, Epsilon: 1.00
Episode: 7, Reward: -1, Epsilon: 1.00
Episode: 8, Reward: -1, Epsilon: 1.00
Episode: 9, Reward: -1, Epsilon: 1.00
Episode: 10, Reward: -1, Epsilon: 1.00
Episode: 11, Reward: -1, Epsilon: 1.00
Episode: 12, Reward: -1, Epsilon: 1.00
Episode: 13, Reward: -1, Epsilon: 1.00
Episode: 14, Reward: -1, Epsilon: 1.00
Episode: 15, Reward: -1, Epsilon: 1.00
Episode: 16, Reward: -1, Epsilon: 1.00
Episode: 17, Reward: -1, Epsilon: 1.00
Episode: 18, Reward: -1, Epsilon: 1.00
Episode: 19, Reward: 10, Epsilon: 1.00
Episode: 20, Reward: -1, Epsilon: 1.00
Episode: 21, Reward: -1, Epsilon: 1.00
Episode: 22, Reward: -1, Epsilon: 1.00
Episode: 23, Reward: -1, Epsilon: 1.00
Episode: 24, Reward: -1, Epsilon: 1.00
Episode: 25, Reward: -1, Epsilon: 1.00
Episode: 26, Reward: -1, Epsilon: 1.00
Episode: 27, Reward: -1, Epsilon: 1.00
Episode: 28, Reward: -1, Epsilon: 1.00
Episode: 29, Reward: -1, Epsilon: 1.00
Episode: 30, Reward: -1, Epsilon: 1.00
/usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:315: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  return float(self._numpy())
Episode: 31, Reward: -1, Epsilon: 0.99
Episode: 32, Reward: -1, Epsilon: 0.99
Episode: 33, Reward: -1, Epsilon: 0.99
Episode: 34, Reward: -1, Epsilon: 0.98
Episode: 35, Reward: -1, Epsilon: 0.98
Episode: 36, Reward: -1, Epsilon: 0.97
Episode: 37, Reward: -1, Epsilon: 0.97
Episode: 38, Reward: -1, Epsilon: 0.96
Episode: 39, Reward: -1, Epsilon: 0.96
Episode: 40, Reward: -1, Epsilon: 0.95
Episode: 41, Reward: -1, Epsilon: 0.95
Episode: 42, Reward: -1, Epsilon: 0.94
Episode: 43, Reward: -1, Epsilon: 0.94
Episode: 44, Reward: -1, Epsilon: 0.93
Episode: 45, Reward: -1, Epsilon: 0.93
Episode: 46, Reward: -1, Epsilon: 0.92
Episode: 47, Reward: -1, Epsilon: 0.92
Episode: 48, Reward: -1, Epsilon: 0.91
Episode: 49, Reward: -1, Epsilon: 0.91
Episode: 50, Reward: -1, Epsilon: 0.90
Episode: 51, Reward: -1, Epsilon: 0.90
Episode: 52, Reward: -1, Epsilon: 0.90
Episode: 53, Reward: 5, Epsilon: 0.89
Episode: 54, Reward: -1, Epsilon: 0.89
Episode: 55, Reward: 5, Epsilon: 0.88
Episode: 56, Reward: 5, Epsilon: 0.88
Episode: 57, Reward: -1, Epsilon: 0.87
Episode: 58, Reward: -1, Epsilon: 0.87
Episode: 59, Reward: -1, Epsilon: 0.86
Episode: 60, Reward: -1, Epsilon: 0.86
Episode: 61, Reward: -1, Epsilon: 0.86
Episode: 62, Reward: -1, Epsilon: 0.85
Episode: 63, Reward: 10, Epsilon: 0.85
Episode: 64, Reward: -1, Epsilon: 0.84
Episode: 65, Reward: -1, Epsilon: 0.84
Episode: 66, Reward: -1, Epsilon: 0.83
Episode: 67, Reward: -1, Epsilon: 0.83
Episode: 68, Reward: -1, Epsilon: 0.83
Episode: 69, Reward: -1, Epsilon: 0.82
Episode: 70, Reward: -1, Epsilon: 0.82
Episode: 71, Reward: -1, Epsilon: 0.81
Episode: 72, Reward: -1, Epsilon: 0.81
Episode: 73, Reward: -1, Epsilon: 0.81
Episode: 74, Reward: -1, Epsilon: 0.80
Episode: 75, Reward: 10, Epsilon: 0.80
Episode: 76, Reward: -1, Epsilon: 0.79
Episode: 77, Reward: 10, Epsilon: 0.79
Episode: 78, Reward: -1, Epsilon: 0.79
Episode: 79, Reward: 10, Epsilon: 0.78
Episode: 80, Reward: -1, Epsilon: 0.78
Episode: 81, Reward: -1, Epsilon: 0.77
Episode: 82, Reward: 20, Epsilon: 0.77
Episode: 83, Reward: -1, Epsilon: 0.77
Episode: 84, Reward: -1, Epsilon: 0.76
Episode: 85, Reward: -1, Epsilon: 0.76
Episode: 86, Reward: 10, Epsilon: 0.76
Episode: 87, Reward: -1, Epsilon: 0.75
Episode: 88, Reward: -1, Epsilon: 0.75
Episode: 89, Reward: -1, Epsilon: 0.74
Episode: 90, Reward: -1, Epsilon: 0.74
Episode: 91, Reward: 10, Epsilon: 0.74
Episode: 92, Reward: -1, Epsilon: 0.73
Episode: 93, Reward: -1, Epsilon: 0.73
Episode: 94, Reward: 20, Epsilon: 0.73
Episode: 95, Reward: -1, Epsilon: 0.72
Episode: 96, Reward: -1, Epsilon: 0.72
Episode: 97, Reward: -1, Epsilon: 0.71
Episode: 98, Reward: 10, Epsilon: 0.71
Episode: 99, Reward: -1, Epsilon: 0.71
Episode: 100, Reward: -1, Epsilon: 0.70
Episode: 101, Reward: -1, Epsilon: 0.70
Episode: 102, Reward: -1, Epsilon: 0.70
Episode: 103, Reward: -1, Epsilon: 0.69
Episode: 104, Reward: -1, Epsilon: 0.69
Episode: 105, Reward: -1, Epsilon: 0.69
Episode: 106, Reward: -1, Epsilon: 0.68
Episode: 107, Reward: 20, Epsilon: 0.68
Episode: 108, Reward: -1, Epsilon: 0.68
Episode: 109, Reward: -1, Epsilon: 0.67
Episode: 110, Reward: -1, Epsilon: 0.67
Episode: 111, Reward: -1, Epsilon: 0.67
Episode: 112, Reward: -1, Epsilon: 0.66
Episode: 113, Reward: -1, Epsilon: 0.66
Episode: 114, Reward: -1, Epsilon: 0.66
Episode: 115, Reward: 10, Epsilon: 0.65
Episode: 116, Reward: -1, Epsilon: 0.65
Episode: 117, Reward: -1, Epsilon: 0.65
Episode: 118, Reward: -1, Epsilon: 0.64
Episode: 119, Reward: -1, Epsilon: 0.64
Episode: 120, Reward: -1, Epsilon: 0.64
Episode: 121, Reward: -1, Epsilon: 0.63
Episode: 122, Reward: -1, Epsilon: 0.63
Episode: 123, Reward: -1, Epsilon: 0.63
Episode: 124, Reward: -1, Epsilon: 0.62
Episode: 125, Reward: -1, Epsilon: 0.62
Episode: 126, Reward: -1, Epsilon: 0.62
Episode: 127, Reward: -1, Epsilon: 0.61
Episode: 128, Reward: -1, Epsilon: 0.61
Episode: 129, Reward: -1, Epsilon: 0.61
Episode: 130, Reward: -1, Epsilon: 0.61
Episode: 131, Reward: -1, Epsilon: 0.60
Episode: 132, Reward: -1, Epsilon: 0.60
Episode: 133, Reward: -1, Epsilon: 0.60
Episode: 134, Reward: 10, Epsilon: 0.59
Episode: 135, Reward: -1, Epsilon: 0.59
Episode: 136, Reward: -1, Epsilon: 0.59
Episode: 137, Reward: -1, Epsilon: 0.58
Episode: 138, Reward: -1, Epsilon: 0.58
Episode: 139, Reward: -1, Epsilon: 0.58
Episode: 140, Reward: -1, Epsilon: 0.58
Episode: 141, Reward: -1, Epsilon: 0.57
Episode: 142, Reward: -1, Epsilon: 0.57
Episode: 143, Reward: -1, Epsilon: 0.57
Episode: 144, Reward: -1, Epsilon: 0.56
Episode: 145, Reward: -1, Epsilon: 0.56
Episode: 146, Reward: -1, Epsilon: 0.56
Episode: 147, Reward: -1, Epsilon: 0.56
Episode: 148, Reward: -1, Epsilon: 0.55
Episode: 149, Reward: -1, Epsilon: 0.55
Episode: 150, Reward: 10, Epsilon: 0.55
Episode: 151, Reward: -1, Epsilon: 0.55
Episode: 152, Reward: -1, Epsilon: 0.54
Episode: 153, Reward: -1, Epsilon: 0.54
Episode: 154, Reward: -1, Epsilon: 0.54
Episode: 155, Reward: -1, Epsilon: 0.53
Episode: 156, Reward: -1, Epsilon: 0.53
Episode: 157, Reward: -1, Epsilon: 0.53
Episode: 158, Reward: -1, Epsilon: 0.53
Episode: 159, Reward: -1, Epsilon: 0.52
Episode: 160, Reward: -1, Epsilon: 0.52
Episode: 161, Reward: -1, Epsilon: 0.52
Episode: 162, Reward: -1, Epsilon: 0.52
Episode: 163, Reward: -1, Epsilon: 0.51
Episode: 164, Reward: -1, Epsilon: 0.51
Episode: 165, Reward: -1, Epsilon: 0.51
Episode: 166, Reward: 10, Epsilon: 0.51
Episode: 167, Reward: -1, Epsilon: 0.50
Episode: 168, Reward: 20, Epsilon: 0.50
Episode: 169, Reward: -1, Epsilon: 0.50
Episode: 170, Reward: -1, Epsilon: 0.50
Episode: 171, Reward: -1, Epsilon: 0.49
Episode: 172, Reward: -1, Epsilon: 0.49
Episode: 173, Reward: -1, Epsilon: 0.49
Episode: 174, Reward: -1, Epsilon: 0.49
Episode: 175, Reward: -1, Epsilon: 0.48
Episode: 176, Reward: -1, Epsilon: 0.48
Episode: 177, Reward: -1, Epsilon: 0.48
Episode: 178, Reward: -1, Epsilon: 0.48
Episode: 179, Reward: -1, Epsilon: 0.47
Episode: 180, Reward: 20, Epsilon: 0.47
Episode: 181, Reward: 5, Epsilon: 0.47
Episode: 182, Reward: 20, Epsilon: 0.47
Episode: 183, Reward: -1, Epsilon: 0.46
Episode: 184, Reward: -1, Epsilon: 0.46
Episode: 185, Reward: -1, Epsilon: 0.46
Episode: 186, Reward: -1, Epsilon: 0.46
Episode: 187, Reward: 10, Epsilon: 0.46
Episode: 188, Reward: -1, Epsilon: 0.45
Episode: 189, Reward: -1, Epsilon: 0.45
Episode: 190, Reward: -1, Epsilon: 0.45
Episode: 191, Reward: -1, Epsilon: 0.45
Episode: 192, Reward: 10, Epsilon: 0.44
Episode: 193, Reward: -1, Epsilon: 0.44
Episode: 194, Reward: -1, Epsilon: 0.44
Episode: 195, Reward: 20, Epsilon: 0.44
Episode: 196, Reward: 20, Epsilon: 0.44
Episode: 197, Reward: -1, Epsilon: 0.43
Episode: 198, Reward: -1, Epsilon: 0.43
Episode: 199, Reward: -1, Epsilon: 0.43
Episode: 200, Reward: -1, Epsilon: 0.43
Episode: 201, Reward: -1, Epsilon: 0.42
Episode: 202, Reward: -1, Epsilon: 0.42
Episode: 203, Reward: -1, Epsilon: 0.42
Episode: 204, Reward: 10, Epsilon: 0.42
Episode: 205, Reward: -1, Epsilon: 0.42
Episode: 206, Reward: 20, Epsilon: 0.41
Episode: 207, Reward: -1, Epsilon: 0.41
Episode: 208, Reward: 10, Epsilon: 0.41
Episode: 209, Reward: 10, Epsilon: 0.41
Episode: 210, Reward: -1, Epsilon: 0.41
Episode: 211, Reward: -1, Epsilon: 0.40
Episode: 212, Reward: -1, Epsilon: 0.40
Episode: 213, Reward: -1, Epsilon: 0.40
Episode: 214, Reward: -1, Epsilon: 0.40
Episode: 215, Reward: 20, Epsilon: 0.40
Episode: 216, Reward: 10, Epsilon: 0.39
Episode: 217, Reward: 10, Epsilon: 0.39
Episode: 218, Reward: -1, Epsilon: 0.39
Episode: 219, Reward: 10, Epsilon: 0.39
Episode: 220, Reward: -1, Epsilon: 0.39
Episode: 221, Reward: 20, Epsilon: 0.38
Episode: 222, Reward: 20, Epsilon: 0.38
Episode: 223, Reward: -1, Epsilon: 0.38
Episode: 224, Reward: -1, Epsilon: 0.38
Episode: 225, Reward: -1, Epsilon: 0.38
Episode: 226, Reward: -1, Epsilon: 0.37
Episode: 227, Reward: 10, Epsilon: 0.37
Episode: 228, Reward: 20, Epsilon: 0.37
Episode: 229, Reward: -1, Epsilon: 0.37
Episode: 230, Reward: -1, Epsilon: 0.37
Episode: 231, Reward: -1, Epsilon: 0.37
Episode: 232, Reward: -1, Epsilon: 0.36
Episode: 233, Reward: -1, Epsilon: 0.36
Episode: 234, Reward: -1, Epsilon: 0.36
Episode: 235, Reward: 20, Epsilon: 0.36
Episode: 236, Reward: -1, Epsilon: 0.36
Episode: 237, Reward: -1, Epsilon: 0.35
Episode: 238, Reward: 20, Epsilon: 0.35
Episode: 239, Reward: 5, Epsilon: 0.35
Episode: 240, Reward: -1, Epsilon: 0.35
Episode: 241, Reward: -1, Epsilon: 0.35
Episode: 242, Reward: -1, Epsilon: 0.35
Episode: 243, Reward: -1, Epsilon: 0.34
Episode: 244, Reward: -1, Epsilon: 0.34
Episode: 245, Reward: -1, Epsilon: 0.34
Episode: 246, Reward: -1, Epsilon: 0.34
Episode: 247, Reward: -1, Epsilon: 0.34
Episode: 248, Reward: -1, Epsilon: 0.34
Episode: 249, Reward: -1, Epsilon: 0.33
Episode: 250, Reward: -1, Epsilon: 0.33
Episode: 251, Reward: -1, Epsilon: 0.33
Episode: 252, Reward: -1, Epsilon: 0.33
Episode: 253, Reward: -1, Epsilon: 0.33
Episode: 254, Reward: -1, Epsilon: 0.33
Episode: 255, Reward: 10, Epsilon: 0.32
Episode: 256, Reward: -1, Epsilon: 0.32
Episode: 257, Reward: 20, Epsilon: 0.32
Episode: 258, Reward: -1, Epsilon: 0.32
Episode: 259, Reward: -1, Epsilon: 0.32
Episode: 260, Reward: -1, Epsilon: 0.32
Episode: 261, Reward: -1, Epsilon: 0.31
Episode: 262, Reward: -1, Epsilon: 0.31
Episode: 263, Reward: 20, Epsilon: 0.31
Episode: 264, Reward: -1, Epsilon: 0.31
Episode: 265, Reward: -1, Epsilon: 0.31
Episode: 266, Reward: -1, Epsilon: 0.31
Episode: 267, Reward: 10, Epsilon: 0.30
Episode: 268, Reward: -1, Epsilon: 0.30
Episode: 269, Reward: -1, Epsilon: 0.30
Episode: 270, Reward: -1, Epsilon: 0.30
Episode: 271, Reward: -1, Epsilon: 0.30
Episode: 272, Reward: -1, Epsilon: 0.30
Episode: 273, Reward: 20, Epsilon: 0.30
Episode: 274, Reward: -1, Epsilon: 0.29
Episode: 275, Reward: -1, Epsilon: 0.29
Episode: 276, Reward: -1, Epsilon: 0.29
Episode: 277, Reward: -1, Epsilon: 0.29
Episode: 278, Reward: -1, Epsilon: 0.29
Episode: 279, Reward: -1, Epsilon: 0.29
Episode: 280, Reward: -1, Epsilon: 0.29
Episode: 281, Reward: -1, Epsilon: 0.28
Episode: 282, Reward: -1, Epsilon: 0.28
Episode: 283, Reward: -1, Epsilon: 0.28
Episode: 284, Reward: -1, Epsilon: 0.28
Episode: 285, Reward: -1, Epsilon: 0.28
Episode: 286, Reward: -1, Epsilon: 0.28
Episode: 287, Reward: -1, Epsilon: 0.28
Episode: 288, Reward: -1, Epsilon: 0.27
Episode: 289, Reward: -1, Epsilon: 0.27
Episode: 290, Reward: -1, Epsilon: 0.27
Episode: 291, Reward: -1, Epsilon: 0.27
Episode: 292, Reward: -1, Epsilon: 0.27
Episode: 293, Reward: -1, Epsilon: 0.27
Episode: 294, Reward: -1, Epsilon: 0.27
Episode: 295, Reward: 10, Epsilon: 0.26
Episode: 296, Reward: -1, Epsilon: 0.26
Episode: 297, Reward: -1, Epsilon: 0.26
Episode: 298, Reward: 20, Epsilon: 0.26
Episode: 299, Reward: -1, Epsilon: 0.26
Episode: 300, Reward: 20, Epsilon: 0.26
Episode: 301, Reward: -1, Epsilon: 0.26
Episode: 302, Reward: -1, Epsilon: 0.26
Episode: 303, Reward: -1, Epsilon: 0.25
Episode: 304, Reward: -1, Epsilon: 0.25
Episode: 305, Reward: -1, Epsilon: 0.25
Episode: 306, Reward: -1, Epsilon: 0.25
Episode: 307, Reward: 10, Epsilon: 0.25
Episode: 308, Reward: -1, Epsilon: 0.25
Episode: 309, Reward: -1, Epsilon: 0.25
Episode: 310, Reward: 10, Epsilon: 0.25
Episode: 311, Reward: -1, Epsilon: 0.24
Episode: 312, Reward: 20, Epsilon: 0.24
Episode: 313, Reward: -1, Epsilon: 0.24
Episode: 314, Reward: 20, Epsilon: 0.24
Episode: 315, Reward: -1, Epsilon: 0.24
Episode: 316, Reward: -1, Epsilon: 0.24
Episode: 317, Reward: -1, Epsilon: 0.24
Episode: 318, Reward: 20, Epsilon: 0.24
Episode: 319, Reward: -1, Epsilon: 0.23
Episode: 320, Reward: -1, Epsilon: 0.23
Episode: 321, Reward: 10, Epsilon: 0.23
Episode: 322, Reward: -1, Epsilon: 0.23
Episode: 323, Reward: 20, Epsilon: 0.23
Episode: 324, Reward: -1, Epsilon: 0.23
Episode: 325, Reward: 10, Epsilon: 0.23
Episode: 326, Reward: -1, Epsilon: 0.23
Episode: 327, Reward: -1, Epsilon: 0.23
Episode: 328, Reward: -1, Epsilon: 0.22
Episode: 329, Reward: 20, Epsilon: 0.22
Episode: 330, Reward: -1, Epsilon: 0.22
Episode: 331, Reward: -1, Epsilon: 0.22
Episode: 332, Reward: -1, Epsilon: 0.22
Episode: 333, Reward: -1, Epsilon: 0.22
Episode: 334, Reward: 10, Epsilon: 0.22
Episode: 335, Reward: -1, Epsilon: 0.22
Episode: 336, Reward: 20, Epsilon: 0.22
